country,year,sex,age,suicides_no,population,suicides_100k_pop
Albania,1985,female,15-24 years,,277900,
Albania,1985,female,25-34 years,,246800,
Albania,1985,female,35-54 years,,267500,
Albania,1985,female,5-14 years,,298300,
Albania,1985,female,55-74 years,,138700,
Albania,1985,female,75+ years,,34200,
Albania,1985,male,15-24 years,,301400,
Albania,1985,male,25-34 years,,264200,
Albania,1985,male,35-54 years,,296700,
Albania,1985,male,5-14 years,,325800,
Albania,1985,male,55-74 years,,132500,
Albania,1985,male,75+ years,,21100,
Albania,1986,female,15-24 years,,283900,
Albania,1986,female,25-34 years,,252100,
Albania,1986,female,35-54 years,,273200,
Albania,1986,female,5-14 years,,304700,
Albania,1986,female,55-74 years,,141700,
Albania,1986,female,75+ years,,34900,
Albania,1986,male,15-24 years,,306700,
Albania,1986,male,25-34 years,,269000,
Albania,1986,male,35-54 years,,302000,
Albania,1986,male,5-14 years,,331600,
Albania,1986,male,55-74 years,,134800,
Albania,1986,male,75+ years,,21400,
Albania,1990,female,15-24 years,,305900,
Albania,1990,female,25-34 years,,278000,
Albania,1990,female,35-54 years,,308300,
Albania,1990,female,5-14 years,,329600,
Albania,1990,female,55-74 years,,156400,
Albania,1990,female,75+ years,,37600,
Albania,1990,male,15-24 years,,325600,
Albania,1990,male,25-34 years,,295100,
Albania,1990,male,35-54 years,,337700,
Albania,1990,male,5-14 years,,355600,
Albania,1990,male,55-74 years,,149700,
Albania,1990,male,75+ years,,23200,
Albania,1991,female,15-24 years,,301100,
Albania,1991,female,25-34 years,,274700,
Albania,1991,female,35-54 years,,316500,
Albania,1991,female,5-14 years,,333300,
Albania,1991,female,55-74 years,,160800,
Albania,1991,female,75+ years,,38300,
Albania,1991,male,15-24 years,,302200,
Albania,1991,male,25-34 years,,276900,
Albania,1991,male,35-54 years,,342600,
Albania,1991,male,5-14 years,,359500,
Albania,1991,male,55-74 years,,154800,
Albania,1991,male,75+ years,,23600,
Albania,2011,female,15-24 years,,258006,
Albania,2011,female,25-34 years,,184556,
Albania,2011,female,35-54 years,,394638,
Albania,2011,female,5-14 years,,210822,
Albania,2011,female,55-74 years,,250641,
Albania,2011,female,75+ years,,67649,
Albania,2011,male,15-24 years,,275385,
Albania,2011,male,25-34 years,,185898,
Albania,2011,male,35-54 years,,368950,
Albania,2011,male,5-14 years,,228071,
Albania,2011,male,55-74 years,,250362,
Albania,2011,male,75+ years,,54228,
Albania,2012,female,15-24 years,,249730,
Albania,2012,female,25-34 years,,187346,
Albania,2012,female,35-54 years,,395819,
Albania,2012,female,5-14 years,,198385,
Albania,2012,female,55-74 years,,259751,
Albania,2012,female,75+ years,,69811,
Albania,2012,male,15-24 years,,268954,
Albania,2012,male,25-34 years,,194250,
Albania,2012,male,35-54 years,,369536,
Albania,2012,male,5-14 years,,215894,
Albania,2012,male,55-74 years,,259056,
Albania,2012,male,75+ years,,56701,
Albania,2013,female,15-24 years,,237550,
Albania,2013,female,25-34 years,,191853,
Albania,2013,female,35-54 years,,397517,
Albania,2013,female,5-14 years,,187558,
Albania,2013,female,55-74 years,,269026,
Albania,2013,female,75+ years,,71601,
Albania,2013,male,15-24 years,,259826,
Albania,2013,male,25-34 years,,204491,
Albania,2013,male,35-54 years,,372005,
Albania,2013,male,5-14 years,,204865,
Albania,2013,male,55-74 years,,267905,
Albania,2013,male,75+ years,,59113,
Albania,2014,female,15-24 years,,224883,
Albania,2014,female,25-34 years,,195460,
Albania,2014,female,35-54 years,,399197,
Albania,2014,female,5-14 years,,177838,
Albania,2014,female,55-74 years,,278887,
Albania,2014,female,75+ years,,73945,
Albania,2014,male,15-24 years,,250345,
Albania,2014,male,25-34 years,,213828,
Albania,2014,male,35-54 years,,373493,
Albania,2014,male,5-14 years,,194554,
Albania,2014,male,55-74 years,,277604,
Albania,2014,male,75+ years,,61678,
Albania,2015,female,15-24 years,,212324,
Albania,2015,female,25-34 years,,199024,
Albania,2015,female,35-54 years,,400275,
Albania,2015,female,5-14 years,,168140,
Albania,2015,female,55-74 years,,289055,
Albania,2015,female,75+ years,,76861,
Albania,2015,male,15-24 years,,240777,
Albania,2015,male,25-34 years,,222680,
Albania,2015,male,35-54 years,,374464,
Albania,2015,male,5-14 years,,184114,
Albania,2015,male,55-74 years,,287770,
Albania,2015,male,75+ years,,64200,
Anguilla,1985,female,15-24 years,0,,
Anguilla,1985,female,25-34 years,0,,
Anguilla,1985,female,35-54 years,0,,
Anguilla,1985,female,5-14 years,0,,
Anguilla,1985,female,55-74 years,0,,
Anguilla,1985,female,75+ years,0,,
Anguilla,1985,male,15-24 years,0,,
Anguilla,1985,male,25-34 years,0,,
Anguilla,1985,male,35-54 years,0,,
Anguilla,1985,male,5-14 years,0,,
Anguilla,1985,male,55-74 years,0,,
Anguilla,1985,male,75+ years,0,,
Anguilla,1986,female,15-24 years,0,,
Anguilla,1986,female,25-34 years,0,,
Anguilla,1986,female,35-54 years,0,,
Anguilla,1986,female,5-14 years,0,,
Anguilla,1986,female,55-74 years,0,,
Anguilla,1986,female,75+ years,0,,
Anguilla,1986,male,15-24 years,0,,
Anguilla,1986,male,25-34 years,0,,
Anguilla,1986,male,35-54 years,0,,
Anguilla,1986,male,5-14 years,0,,
Anguilla,1986,male,55-74 years,0,,
Anguilla,1986,male,75+ years,0,,
Anguilla,1987,female,15-24 years,0,,
Anguilla,1987,female,25-34 years,0,,
Anguilla,1987,female,35-54 years,0,,
Anguilla,1987,female,5-14 years,0,,
Anguilla,1987,female,55-74 years,0,,
Anguilla,1987,female,75+ years,0,,
Anguilla,1987,male,15-24 years,0,,
Anguilla,1987,male,25-34 years,0,,
Anguilla,1987,male,35-54 years,0,,
Anguilla,1987,male,5-14 years,0,,
Anguilla,1987,male,55-74 years,0,,
Anguilla,1987,male,75+ years,0,,
Anguilla,1988,female,15-24 years,0,,
Anguilla,1988,female,25-34 years,0,,
Anguilla,1988,female,35-54 years,0,,
Anguilla,1988,female,5-14 years,0,,
Anguilla,1988,female,55-74 years,0,,
Anguilla,1988,female,75+ years,0,,
Anguilla,1988,male,15-24 years,0,,
Anguilla,1988,male,25-34 years,0,,
Anguilla,1988,male,35-54 years,0,,
Anguilla,1988,male,5-14 years,0,,
Anguilla,1988,male,55-74 years,0,,
Anguilla,1988,male,75+ years,0,,
Anguilla,1989,female,15-24 years,0,,
Anguilla,1989,female,25-34 years,0,,
Anguilla,1989,female,35-54 years,0,,
Anguilla,1989,female,5-14 years,0,,
Anguilla,1989,female,55-74 years,0,,
Anguilla,1989,female,75+ years,0,,
Anguilla,1989,male,15-24 years,0,,
Anguilla,1989,male,25-34 years,0,,
Anguilla,1989,male,35-54 years,0,,
Anguilla,1989,male,5-14 years,0,,
Anguilla,1989,male,55-74 years,0,,
Anguilla,1989,male,75+ years,0,,
Anguilla,1990,female,15-24 years,0,,
Anguilla,1990,female,25-34 years,0,,
Anguilla,1990,female,35-54 years,0,,
Anguilla,1990,female,5-14 years,0,,
Anguilla,1990,female,55-74 years,0,,
Anguilla,1990,female,75+ years,0,,
Anguilla,1990,male,15-24 years,0,,
Anguilla,1990,male,25-34 years,0,,
Anguilla,1990,male,35-54 years,0,,
Anguilla,1990,male,5-14 years,0,,
Anguilla,1990,male,55-74 years,0,,
Anguilla,1990,male,75+ years,0,,
Anguilla,1991,female,15-24 years,0,,
Anguilla,1991,female,25-34 years,0,,
Anguilla,1991,female,35-54 years,0,,
Anguilla,1991,female,5-14 years,0,,
Anguilla,1991,female,55-74 years,0,,
Anguilla,1991,female,75+ years,0,,
Anguilla,1991,male,15-24 years,0,,
Anguilla,1991,male,25-34 years,0,,
Anguilla,1991,male,35-54 years,0,,
Anguilla,1991,male,5-14 years,0,,
Anguilla,1991,male,55-74 years,0,,
Anguilla,1991,male,75+ years,0,,
Anguilla,1992,female,15-24 years,0,,
Anguilla,1992,female,25-34 years,0,,
Anguilla,1992,female,35-54 years,0,,
Anguilla,1992,female,5-14 years,0,,
Anguilla,1992,female,55-74 years,0,,
Anguilla,1992,female,75+ years,0,,
Anguilla,1992,male,15-24 years,0,,
Anguilla,1992,male,25-34 years,0,,
Anguilla,1992,male,35-54 years,0,,
Anguilla,1992,male,5-14 years,0,,
Anguilla,1992,male,55-74 years,0,,
Anguilla,1992,male,75+ years,0,,
Anguilla,1993,female,15-24 years,0,,
Anguilla,1993,female,25-34 years,0,,
Anguilla,1993,female,35-54 years,0,,
Anguilla,1993,female,5-14 years,0,,
Anguilla,1993,female,55-74 years,0,,
Anguilla,1993,female,75+ years,0,,
Anguilla,1993,male,15-24 years,0,,
Anguilla,1993,male,25-34 years,0,,
Anguilla,1993,male,35-54 years,0,,
Anguilla,1993,male,5-14 years,0,,
Anguilla,1993,male,55-74 years,0,,
Anguilla,1993,male,75+ years,0,,
Anguilla,1994,female,15-24 years,0,,
Anguilla,1994,female,25-34 years,0,,
Anguilla,1994,female,35-54 years,0,,
Anguilla,1994,female,5-14 years,0,,
Anguilla,1994,female,55-74 years,0,,
Anguilla,1994,female,75+ years,0,,
Anguilla,1994,male,15-24 years,0,,
Anguilla,1994,male,25-34 years,0,,
