country,year,sex,age,suicides_no,population,suicides_100k_pop
Albania,1987,female,15-24 years,14,289700,4.8325854332067655
Albania,1987,female,25-34 years,4,257200,1.5552099533437014
Albania,1987,female,35-54 years,6,278800,2.1520803443328553
Albania,1987,female,5-14 years,0,311000,0.0
Albania,1987,female,55-74 years,0,144600,0.0
Albania,1987,female,75+ years,1,35600,2.808988764044944
Albania,1987,male,15-24 years,21,312900,6.711409395973154
Albania,1987,male,25-34 years,9,274300,3.2810791104629966
Albania,1987,male,35-54 years,16,308000,5.194805194805195
Albania,1987,male,5-14 years,0,338200,0.0
Albania,1987,male,55-74 years,1,137500,0.7272727272727272
Albania,1987,male,75+ years,1,21800,4.587155963302752
Albania,1988,female,15-24 years,8,295600,2.706359945872801
Albania,1988,female,25-34 years,5,262400,1.9054878048780488
Albania,1988,female,35-54 years,4,284500,1.40597539543058
Albania,1988,female,5-14 years,0,317200,0.0
Albania,1988,female,55-74 years,3,147500,2.0338983050847457
Albania,1988,female,75+ years,2,36400,5.4945054945054945
Albania,1988,male,15-24 years,17,319200,5.325814536340852
Albania,1988,male,25-34 years,5,279900,1.7863522686673812
Albania,1988,male,35-54 years,14,314100,4.457179242279529
Albania,1988,male,5-14 years,0,345000,0.0
Albania,1988,male,55-74 years,4,140200,2.8530670470756063
Albania,1988,male,75+ years,1,22300,4.484304932735426
Albania,1989,female,15-24 years,5,299900,1.6672224074691564
Albania,1989,female,25-34 years,2,266300,0.7510326699211416
Albania,1989,female,35-54 years,7,288600,2.4255024255024256
Albania,1989,female,5-14 years,0,321900,0.0
Albania,1989,female,55-74 years,1,149600,0.6684491978609626
Albania,1989,female,75+ years,0,37000,0.0
Albania,1989,male,15-24 years,12,323500,3.7094281298299845
Albania,1989,male,25-34 years,18,283600,6.346967559943582
Albania,1989,male,35-54 years,15,318400,4.711055276381909
Albania,1989,male,5-14 years,0,349700,0.0
Albania,1989,male,55-74 years,6,142100,4.2223786066150595
Albania,1989,male,75+ years,2,22500,8.88888888888889
Albania,1992,female,15-24 years,7,292400,2.3939808481532148
Albania,1992,female,25-34 years,4,267400,1.4958863126402393
Albania,1992,female,35-54 years,2,323100,0.6190034045187248
Albania,1992,female,5-14 years,0,336700,0.0
Albania,1992,female,55-74 years,1,164900,0.6064281382656155
Albania,1992,female,75+ years,0,38700,0.0
Albania,1992,male,15-24 years,9,263700,3.4129692832764507
Albania,1992,male,25-34 years,7,245500,2.8513238289205702
Albania,1992,male,35-54 years,12,343800,3.4904013961605584
Albania,1992,male,5-14 years,0,362900,0.0
Albania,1992,male,55-74 years,5,159500,3.134796238244514
Albania,1992,male,75+ years,0,23900,0.0
Albania,1993,female,15-24 years,10,285300,3.505082369435682
Albania,1993,female,25-34 years,7,261800,2.6737967914438503
Albania,1993,female,35-54 years,7,331200,2.1135265700483092
Albania,1993,female,5-14 years,1,340300,0.2938583602703497
Albania,1993,female,55-74 years,2,169500,1.1799410029498525
Albania,1993,female,75+ years,0,39300,0.0
Albania,1993,male,15-24 years,18,243300,7.398273736128237
Albania,1993,male,25-34 years,9,230100,3.911342894393742
Albania,1993,male,35-54 years,10,350300,2.8546959748786755
Albania,1993,male,5-14 years,1,367000,0.2724795640326976
Albania,1993,male,55-74 years,7,165000,4.242424242424242
Albania,1993,male,75+ years,1,24200,4.132231404958678
Albania,1994,female,15-24 years,6,282600,2.1231422505307855
Albania,1994,female,25-34 years,4,261100,1.5319800842589044
Albania,1994,female,35-54 years,2,342500,0.5839416058394161
Albania,1994,female,5-14 years,0,344400,0.0
Albania,1994,female,55-74 years,1,174600,0.572737686139748
Albania,1994,female,75+ years,2,39900,5.012531328320803
Albania,1994,male,15-24 years,6,242200,2.477291494632535
Albania,1994,male,25-34 years,6,231400,2.592912705272256
Albania,1994,male,35-54 years,9,362800,2.4807056229327453
Albania,1994,male,5-14 years,1,371800,0.2689618074233459
Albania,1994,male,55-74 years,11,171400,6.417736289381563
Albania,1994,male,75+ years,2,24600,8.130081300813009
Albania,1995,female,15-24 years,13,283500,4.585537918871252
Albania,1995,female,25-34 years,7,264000,2.6515151515151514
Albania,1995,female,35-54 years,8,356400,2.244668911335578
Albania,1995,female,5-14 years,2,348700,0.5735589331803843
Albania,1995,female,55-74 years,2,180400,1.1086474501108647
Albania,1995,female,75+ years,2,40800,4.901960784313725
Albania,1995,male,15-24 years,11,241200,4.560530679933665
Albania,1995,male,25-34 years,13,232900,5.5817947617003005
Albania,1995,male,35-54 years,14,375900,3.7243947858473
Albania,1995,male,5-14 years,6,376500,1.593625498007968
Albania,1995,male,55-74 years,9,178000,5.056179775280899
Albania,1995,male,75+ years,1,25100,3.9840637450199203
Albania,1996,female,15-24 years,16,287700,5.561348627042057
Albania,1996,female,25-34 years,10,267900,3.7327360955580438
Albania,1996,female,35-54 years,9,362000,2.4861878453038675
Albania,1996,female,5-14 years,1,354100,0.2824060999717594
Albania,1996,female,55-74 years,1,183100,0.5461496450027308
Albania,1996,female,75+ years,2,41200,4.8543689320388355
Albania,1996,male,15-24 years,17,243600,6.9786535303776684
Albania,1996,male,25-34 years,14,235300,5.949851253718657
Albania,1996,male,35-54 years,12,379600,3.1612223393045307
Albania,1996,male,5-14 years,2,380400,0.5257623554153523
Albania,1996,male,55-74 years,3,179900,1.6675931072818233
Albania,1996,male,75+ years,2,25400,7.874015748031495
Albania,1997,female,15-24 years,21,294000,7.142857142857143
Albania,1997,female,25-34 years,16,273900,5.841548010222708
Albania,1997,female,35-54 years,7,370100,1.8913807079167793
Albania,1997,female,5-14 years,6,361800,1.658374792703151
Albania,1997,female,55-74 years,0,187000,0.0
Albania,1997,female,75+ years,2,42100,4.750593824228028
Albania,1997,male,15-24 years,33,244400,13.502454991816695
Albania,1997,male,25-34 years,36,236000,15.254237288135592
Albania,1997,male,35-54 years,30,380800,7.878151260504202
Albania,1997,male,5-14 years,4,381500,1.0484927916120577
Albania,1997,male,55-74 years,12,180300,6.655574043261231
Albania,1997,male,75+ years,3,25400,11.811023622047244
Albania,1998,female,15-24 years,32,295600,10.825439783491204
Albania,1998,female,25-34 years,10,275300,3.6324010170722847
Albania,1998,female,35-54 years,9,372100,2.418704649287826
Albania,1998,female,5-14 years,1,363800,0.2748763056624519
Albania,1998,female,55-74 years,6,188200,3.188097768331562
Albania,1998,female,75+ years,0,42300,0.0
Albania,1998,male,15-24 years,27,248800,10.85209003215434
Albania,1998,male,25-34 years,26,240400,10.8153078202995
Albania,1998,male,35-54 years,29,388200,7.470376094796497
